source,article,status,category,title,notes
TipSheets/TipSheets/Cornerstone Tip Sheet - Create Material.docx,docs/content-create-material.md,already_converted_pilot,Pilot,,Reviewed pilot conversion.
TipSheets/TipSheets/Cornerstone Tip Sheet - Grade Checklists.docx,docs/checklists-grade-checklists.md,already_converted_pilot,Pilot,,Reviewed pilot conversion.
TipSheets/TipSheets/Cornerstone Tip Sheet - Learning Assignment Tool.docx,docs/admin-learning-assignment-tool.md,already_converted_pilot,Pilot,,Reviewed pilot conversion.
TipSheets/TipSheets/Cornerstone Tip Sheet - Printing Transcript Report.docx,docs/learner-print-transcript-report.md,already_converted_pilot,Pilot,,Reviewed pilot conversion.
TipSheets/TipSheets/Cornerstone Tip Sheet - Test Creation.docx,docs/content-create-test.md,already_converted_pilot,Pilot,,Reviewed pilot conversion.
TipSheets/TipSheets/Cornerstone Tip Sheet - Add User.docx,docs/admin-add-external-user.md,converted,Admin Guides,Add an External User,
TipSheets/TipSheets/Auto Assign Dashboard Tip Sheet.docx,docs/admin-auto-assign-dashboard.md,converted,Admin Guides,Auto Assign Dashboard,
TipSheets/TipSheets/Cornerstone Tip Sheet - Edit Due Dates.docx,docs/admin-edit-due-dates.md,converted,Admin Guides,Edit Due Dates,
TipSheets/TipSheets/Cornerstone Tip Sheet - Remove Training.docx,docs/admin-remove-training.md,converted,Admin Guides,Remove Training,
TipSheets/TipSheets/Cornerstone Tip Sheet - Add a Note (Curriculum).docx,docs/content-add-curriculum-note.md,converted,Content Creation,Add a Curriculum Note,
TipSheets/TipSheets/Cornerstone Content Development Guidelines.docx,docs/content-development-guidelines.md,converted,Content Creation,Content Development Guidelines,
TipSheets/TipSheets/Cornerstone Tip Sheet - Materials_No Signature Required.docx,docs/content-materials-no-signature-required.md,converted,Content Creation,Create Materials with No Signature Required,
TipSheets/TipSheets/Cornerstone Tip Sheet - Creating a Video Lesson.docx,docs/content-create-video-lesson.md,converted,Content Creation,Create a Video Lesson,
TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learners to a Session Roster.docx,docs/sessions-add-learners-to-roster.md,converted,Events and Sessions,Add Learners to a Session Roster,Near-duplicate of Add a Learner to a Session Roster; kept as a separate review page.
TipSheets/TipSheets/Cornerstone Tip Sheet - Adding Learner to Session Roster.docx,docs/sessions-add-learner-to-roster.md,converted,Events and Sessions,Add a Learner to a Session Roster,Near-duplicate of Adding Learners to a Session Roster; kept as a separate review page.
